index_name,retriever_method,number_retrieved_docs,llm_name,max_context_size,temperature,prompt_version,num_questions_answered,percent_questions_answered,rouge1,rouge1_first_Kersten,rouge1_second_Kersten,rouge1_third_others,rouge1_fourth_template_and_new_ISO,rouge1_fundamentals,rouge1_clause,rouge1_risk_management,rouge1_audits,rouge1_control,rouge1_new_iso,rouge2,rouge2_first_Kersten,rouge2_second_Kersten,rouge2_third_others,rouge2_fourth_template_and_new_ISO,rouge2_fundamentals,rouge2_clause,rouge2_risk_management,rouge2_audits,rouge2_control,rouge2_new_iso,rougeL,rougeL_first_Kersten,rougeL_second_Kersten,rougeL_third_others,rougeL_fourth_template_and_new_ISO,rougeL_fundamentals,rougeL_clause,rougeL_risk_management,rougeL_audits,rougeL_control,rougeL_new_iso,response_length,hallucination,hallucination_first_Kersten,hallucination_second_Kersten,hallucination_third_others,hallucination_fourth_template_and_new_ISO,hallucination_fundamentals,hallucination_clause,hallucination_risk_management,hallucination_audits,hallucination_control,hallucination_new_iso,answer_relevancy,answer_relevancy_first_Kersten,answer_relevancy_second_Kersten,answer_relevancy_third_others,answer_relevancy_fourth_template_and_new_ISO,answer_relevancy_fundamentals,answer_relevancy_clause,answer_relevancy_risk_management,answer_relevancy_audits,answer_relevancy_control,answer_relevancy_new_iso,answer_similarity,answer_similarity_first_Kersten,answer_similarity_second_Kersten,answer_similarity_third_others,answer_similarity_fourth_template_and_new_ISO,answer_similarity_fundamentals,answer_similarity_clause,answer_similarity_risk_management,answer_similarity_audits,answer_similarity_control,answer_similarity_new_iso,context_recall,context_recall_first_Kersten,context_recall_second_Kersten,context_recall_third_others,context_recall_fourth_template_and_new_ISO,context_recall_fundamentals,context_recall_clause,context_recall_risk_management,context_recall_audits,context_recall_control,context_recall_new_iso,RAGAS_relevancy,RAGAS_relevancy_first_Kersten,RAGAS_relevancy_second_Kersten,RAGAS_relevancy_third_others,RAGAS_relevancy_fourth_template_and_new_ISO,RAGAS_relevancy_fundamentals,RAGAS_relevancy_clause,RAGAS_relevancy_risk_management,RAGAS_relevancy_audits,RAGAS_relevancy_control,RAGAS_relevancy_new_iso,duration_retrieval,duration_generation,duration_context_size,duration_total,rouge1_dur,rouge2_dur,rougeL_dur,response_length_dur,hallucination_dur,answer_relevancy_dur,answer_similarity_dur,context_recall_dur,RAGAS_relevancy_dur,duration_all_metrics
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Kers_Higher_context_size,Hybrid_Rerank_Cohere,8,gpt-3.5-turbo-16k,16385,0,1.0,164.0,1.0,0.462,0.473,0.451,0.461,0.466,0.466,0.461,0.481,0.446,0.463,0.399,0.169,0.184,0.143,0.162,0.269,0.17,0.171,0.171,0.151,0.169,0.186,0.272,0.293,0.25,0.261,0.347,0.274,0.273,0.275,0.261,0.274,0.253,141.40243902439025,0.763,0.72,0.799,0.803,0.568,0.787,0.806,0.805,0.757,0.72,0.604,0.96,0.953,0.974,0.965,0.886,0.935,0.999,0.988,0.99,0.947,0.854,0.801,0.797,0.801,0.805,0.8,0.815,0.799,0.816,0.797,0.791,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.858,2.675,0.005,4.533,0.005,0.006,0.012,0.028,2.368,0.23,0.402,0.0,0.0,3.055
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Recu_Recursive,Hybrid_Rerank_Cohere,8,gpt-3.5-turbo-16k,16385,0,1.0,164.0,1.0,0.451,0.455,0.443,0.459,0.422,0.459,0.453,0.471,0.441,0.45,0.354,0.166,0.178,0.139,0.166,0.251,0.171,0.175,0.152,0.146,0.168,0.172,0.268,0.286,0.245,0.263,0.319,0.275,0.271,0.259,0.254,0.274,0.227,137.85365853658536,0.753,0.713,0.805,0.787,0.487,0.755,0.815,0.77,0.808,0.731,0.464,0.951,0.937,0.965,0.982,0.773,0.927,0.999,0.995,0.995,0.941,0.708,0.788,0.777,0.796,0.799,0.751,0.802,0.796,0.801,0.793,0.778,0.69,0.902,0.868,0.929,0.926,0.802,0.929,0.952,0.907,0.79,0.903,0.746,0.828,0.814,0.851,0.834,0.736,0.809,0.845,0.843,0.885,0.829,0.67,1.862,3.971,0.006,5.833,0.006,0.006,0.011,0.035,2.708,0.187,1.199,3.249,0.292,7.695
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Kers_Compression,Hybrid_Rerank_Cohere_Compression,8,gpt-3.5-turbo-16k,16385,0,1.0,164.0,1.0,0.457,0.474,0.449,0.456,0.414,0.461,0.461,0.463,0.456,0.457,0.406,0.163,0.185,0.139,0.154,0.224,0.171,0.171,0.143,0.16,0.156,0.208,0.269,0.298,0.245,0.26,0.29,0.277,0.277,0.251,0.264,0.268,0.267,136.7987804878049,0.778,0.731,0.818,0.809,0.627,0.742,0.786,0.784,0.845,0.807,0.579,0.977,0.99,0.976,0.981,0.887,0.979,0.998,0.974,0.978,0.982,0.856,0.799,0.796,0.804,0.802,0.78,0.811,0.795,0.804,0.808,0.794,0.761,0.873,0.848,0.893,0.897,0.765,0.861,0.9,0.915,0.824,0.877,0.77,0.856,0.861,0.859,0.856,0.806,0.841,0.886,0.866,0.901,0.84,0.777,1.858,2.918,0.002,4.777,0.007,0.007,0.013,0.023,8.815,0.141,1.46,2.325,0.294,13.089
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Kers_Kersten-translated,Hybrid_Rerank_Cohere,6,gpt-3.5-turbo-16k,16385,0,1.0,164.0,1.0,0.46,0.471,0.449,0.461,0.446,0.468,0.463,0.464,0.455,0.463,0.368,0.17,0.19,0.148,0.156,0.264,0.178,0.177,0.154,0.168,0.168,0.17,0.273,0.292,0.253,0.26,0.344,0.283,0.271,0.268,0.269,0.272,0.245,137.84146341463415,0.778,0.739,0.814,0.815,0.573,0.78,0.852,0.817,0.828,0.725,0.568,0.959,0.941,0.993,0.975,0.774,0.963,0.999,0.994,0.998,0.937,0.711,0.794,0.785,0.806,0.798,0.763,0.814,0.809,0.804,0.803,0.775,0.704,0.923,0.878,0.959,0.947,0.833,0.938,0.947,0.992,0.758,0.922,0.857,0.832,0.82,0.853,0.838,0.748,0.822,0.846,0.863,0.894,0.818,0.684,1.858,3.169,0.003,5.028,0.005,0.005,0.011,0.022,8.605,0.147,0.623,2.8,0.325,12.548
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Kers_Kersten-translated,Hybrid_Rerank_Cohere,8,gpt-3.5-turbo-16k,16385,0,1.0,164.0,1.0,0.467,0.475,0.455,0.468,0.49,0.478,0.468,0.473,0.449,0.468,0.416,0.176,0.187,0.147,0.172,0.298,0.183,0.18,0.174,0.151,0.171,0.212,0.278,0.294,0.252,0.27,0.383,0.285,0.28,0.273,0.262,0.277,0.283,140.72560975609755,0.763,0.73,0.791,0.808,0.537,0.755,0.839,0.823,0.76,0.729,0.522,0.963,0.956,0.968,0.978,0.887,0.934,0.998,0.978,0.99,0.965,0.855,0.801,0.789,0.803,0.81,0.807,0.815,0.798,0.814,0.792,0.793,0.761,0.918,0.904,0.974,0.898,0.804,0.924,0.921,0.995,0.85,0.909,0.819,0.843,0.831,0.85,0.848,0.83,0.816,0.872,0.859,0.899,0.827,0.79,1.858,3.227,0.005,5.085,0.005,0.007,0.01,0.032,1.448,0.114,0.296,3.388,0.317,5.619
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False-FEW_SHOT,Hybrid_Rerank_Cohere,8,gpt-3.5-turbo-16k,16385,0,,164.0,1.0,0.414,0.367,0.416,0.446,0.464,0.411,0.433,0.438,0.438,0.399,0.312,0.138,0.112,0.121,0.148,0.319,0.148,0.145,0.127,0.132,0.135,0.13,0.236,0.207,0.226,0.251,0.367,0.243,0.248,0.239,0.244,0.227,0.188,149.37,0.706,0.647,0.739,0.775,0.441,0.65,0.852,0.801,0.808,0.618,0.453,0.845,0.826,0.866,0.885,0.587,0.776,0.996,0.888,0.982,0.795,0.471,0.724,0.677,0.739,0.761,0.678,0.696,0.788,0.756,0.774,0.693,0.587,0.915,0.848,0.982,0.933,0.801,0.948,0.935,0.95,0.809,0.907,0.815,0.755,0.725,0.768,0.791,0.63,0.706,0.815,0.789,0.891,0.727,0.55,2.678,4.334,0.004,7.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,6,gpt-3.5-turbo,4096,0,,164.0,1.0,0.439,0.396,0.45,0.456,0.499,0.45,0.435,0.462,0.438,0.418,0.451,0.153,0.134,0.143,0.158,0.279,0.162,0.15,0.159,0.135,0.141,0.214,0.255,0.232,0.248,0.264,0.364,0.269,0.253,0.266,0.239,0.239,0.292,144.57,0.738,0.666,0.775,0.776,0.694,0.669,0.815,0.823,0.805,0.689,0.687,0.954,0.89,0.98,0.98,0.989,0.938,0.989,0.995,0.996,0.904,0.986,0.773,0.719,0.787,0.794,0.862,0.791,0.769,0.795,0.775,0.739,0.837,0.916,0.857,0.961,0.944,0.817,0.932,0.943,0.95,0.76,0.93,0.837,0.831,0.785,0.85,0.847,0.876,0.835,0.858,0.831,0.842,0.805,0.847,2.678,2.89,0.003,5.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,16,gpt-3.5-turbo-16k,16385,0,1.0,164.0,1.0,0.446,0.427,0.446,0.466,0.433,0.461,0.441,0.468,0.438,0.44,0.358,0.152,0.144,0.137,0.16,0.236,0.167,0.144,0.154,0.143,0.147,0.15,0.258,0.253,0.245,0.264,0.324,0.275,0.25,0.265,0.241,0.255,0.226,141.1280487804878,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.97,0.98,0.969,0.886,0.966,0.999,0.953,0.993,0.966,0.854,0.789,0.763,0.798,0.805,0.784,0.807,0.792,0.804,0.773,0.776,0.733,0.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.726,4.911,0.011,7.638,0.005,0.005,0.011,0.021,21.248,0.332,2.925,3.579,0.402,3.302
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,8,gpt-3.5-turbo-16k,16385,0,1.0,164.0,1.0,0.448,0.427,0.442,0.466,0.489,0.454,0.435,0.477,0.43,0.447,0.41,0.158,0.14,0.139,0.17,0.291,0.163,0.148,0.166,0.139,0.156,0.194,0.261,0.252,0.243,0.269,0.368,0.263,0.25,0.277,0.241,0.264,0.263,140.35365853658536,0.754,0.702,0.777,0.817,0.542,0.748,0.831,0.803,0.798,0.695,0.592,0.971,0.953,0.989,0.985,0.885,0.962,0.998,0.985,0.987,0.965,0.854,0.785,0.753,0.79,0.807,0.803,0.793,0.787,0.807,0.77,0.774,0.756,0.899,0.867,0.942,0.901,0.821,0.867,0.905,0.986,0.871,0.895,0.841,0.876,0.837,0.894,0.901,0.837,0.879,0.898,0.878,0.874,0.867,0.812,2.726,4.35,0.004,7.077,0.005,0.006,0.013,0.024,13.646,0.447,0.888,3.394,0.463,18.896
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,2,gpt-3.5-turbo,4096,0,1.0,164.0,1.0,0.444,0.433,0.442,0.449,0.486,0.459,0.428,0.463,0.436,0.434,0.435,0.151,0.149,0.134,0.146,0.282,0.163,0.137,0.154,0.129,0.144,0.218,0.257,0.259,0.24,0.253,0.363,0.273,0.24,0.26,0.243,0.25,0.291,154.28048780487805,0.786,0.754,0.809,0.81,0.697,0.781,0.874,0.834,0.838,0.716,0.644,0.961,0.971,0.961,0.966,0.879,0.956,0.958,0.971,0.991,0.971,0.845,0.771,0.746,0.772,0.791,0.784,0.8,0.768,0.775,0.767,0.753,0.735,0.802,0.737,0.868,0.822,0.671,0.799,0.855,0.867,0.776,0.78,0.577,0.866,0.841,0.881,0.88,0.848,0.869,0.882,0.858,0.896,0.857,0.812,2.726,4.548,0.005,7.274,0.005,0.005,0.012,0.035,0.529,0.506,1.0,3.798,0.398,3.214
