index_name,retriever_method,number_retrieved_docs,hit_rate,mrr,similarity,duration
HuggingFace_SecRoBERTa_l2_All_264_0_False,Dense,4,0.12,0.10333333333333332,0.11480211025450444,0.038109993934631346
HuggingFace_all-mpnet-base-v2_l2_All_264_0_False,Dense,4,0.6,0.4758333333333333,0.4078434435550298,0.1400670170783996
Cohere_v3_l2_All_264_0_False,Dense,4,0.67,0.6258333333333334,0.4883270545372579,1.404800317287445
Voyage_voyage-2_l2_All_264_0_False,Dense,4,0.61,0.5408333333333334,0.3784444024044751,0.9951700472831726
HuggingFace_bge-large-en-v1.5_l2_All_264_0_False,Dense,4,0.76,0.6983333333333335,0.5001212231034333,0.1916486477851867
HuggingFace_all-MiniLM-L6-v2_l2_All_264_0_False,Dense,4,0.62,0.5458333333333334,0.4078293875497366,0.0339328050613403
OpenAI_text-embedding-ada_l2_All_264_0_False,Dense,4,0.76,0.6916666666666665,0.4864909876332604,0.3391605234146118
HuggingFace_Contriever_l2_All_264_0_False,Dense,4,0.58,0.5325000000000001,0.4138107811021836,0.1037253451347351
HuggingFace_SecRoBERTa_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.65,0.3699999999999999,0.3752736899998427,1.446288957595825
Cohere_v3_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.75,0.6341666666666668,0.5562163730788275,2.332637650966644
HuggingFace_all-mpnet-base-v2_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.76,0.5791666666666666,0.5291355175267788,1.53674391746521
Voyage_voyage-2_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.74,0.5375000000000001,0.3418927758103433,2.2317291951179503
Voyage_voyage-2_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.78,0.6241666666666668,0.542029718661262,2.3675293159484863
HuggingFace_bge-large-en-v1.5_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.79,0.6516666666666666,0.5555812372408374,1.602814531326294
HuggingFace_SecRoBERTa_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.6,0.3466666666666665,0.2473246559325753,1.3065466499328613
HuggingFace_Contriever_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.67,0.5066666666666667,0.341826780784654,1.3529620718955997
OpenAI_text-embedding-ada_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.83,0.6475000000000002,0.5619843741926605,1.8472781801223757
HuggingFace_Contriever_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.74,0.5525000000000001,0.527828724004504,1.4490292406082153
Cohere_v3_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.73,0.5791666666666667,0.3780425329322971,2.236404566764832
HuggingFace_bge-large-en-v1.5_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.79,0.6050000000000001,0.3823318102618932,1.495123233795166
OpenAI_text-embedding-ada_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.81,0.6533333333333334,0.3696702633596053,1.524547278881073
Fine-tuned_finetuned-ISO-27001_1024_l2_All_264_0_False,Dense,4,0.78,0.7166666666666666,0.5012613890673129,0.19045405149459838
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Rerank_Hybrid_BM25_Dense,4,0.78,0.6391666666666668,0.5601193299410574,1.791925675868988
Fine-tuned_finetuned-ISO-27001_1024_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.74,0.6,0.3829181217831031,1.5142772793769836
