index_name,retriever_method,number_retrieved_docs,hit_rate,mrr,similarity,duration
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Contriever,4,0.73,0.5841666666666667,0.5484364295006617,5.608886685371399
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_MMR,4,0.75,0.6341666666666667,0.4983272343612862,1.0132413983345032
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_HyDE,4,0.51,0.3558333333333333,0.4315567542358361,3.977949447631836
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cross_Encoder_BGE,4,0.26,0.1516666666666666,0.344016727416456,8.337738091945647
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cross_Encoder_Ms_Marco,4,0.24,0.1633333333333333,0.3484542145150499,2.209623837471008
finetuned-ISO-27001_1024_l2_All_PC_1536_264_512_0_False,Hybrid_Parent_Child,4,0.65,0.4217619047619048,0.27092690415966,1.6162942838668823
text-embedding-ada_l2_All_PC_1536_264_512_0_False,Hybrid_Parent_Child,4,0.84,0.6626666666666668,0.4637519205577521,1.6992490553855897
finetuned-ISO-27001_1024_l2_All_PC_1536_264_264_0_False,Hybrid_Parent_Child,4,0.83,0.6365000000000002,0.4670183467512704,2.49336156129837
text-embedding-ada_l2_All_PC_RETRIEVER_1536_264_264_0_False,Hybrid_Parent_Child,4,0.79,0.6143452380952382,0.4337605239345888,2.5094717741012573
OpenAI_text-embedding-ada_l2_All_1536_264_False,Hybrid_MMR,4,0.79,0.6558333333333333,0.5070381644300688,1.2156978368759157
OpenAI_text-embedding-ada_l2_All_1536_264_False,Hybrid_HyDE,4,0.59,0.4408333333333334,0.4581182991322299,3.989581632614136
OpenAI_text-embedding-ada_l2_All_1536_264_False,Hybrid_Rerank_Cross_Encoder_BGE,4,0.25,0.1541666666666666,0.3404049075551938,23.141148374080657
OpenAI_text-embedding-ada_l2_All_1536_264_False,Hybrid_Rerank_Cross_Encoder_Ms_Marco,4,0.24,0.1608333333333333,0.3568215651234368,5.726981279850006
OpenAI_text-embedding-ada_l2_All_1536_264_False,Hybrid_Rerank_Contriever,4,0.73,0.5866666666666667,0.5530894310652366,35.483025567531584
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,4,0.9,0.83,0.6580662933506392,2.5216289949417114
OpenAI_text-embedding-ada_l2_All_1536_264_False,Hybrid_Rerank_Cohere,4,0.9,0.8308333333333333,0.6584582500496617,2.5257675671577453
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Multi_Query,4,0.55,0.4408333333333335,0.4681236033683106,2.542388706207275
OpenAI_text-embedding-ada_l2_All_1536_264_False,Hybrid_Multi_Query,4,0.6,0.5208333333333334,0.4740053941963064,2.8822183871269225
