index_name,retriever_method,number_retrieved_docs,hit_rate,mrr,similarity,duration
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Multi_Query_Cohere,4,0.66,0.5691666666666666,0.5248279767388686,1.1465260124206542
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,4,0.87,0.8083333333333332,0.6502752513071209,2.224232270717621
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,4,0.86,0.7941666666666667,0.6338401425911252,2.337466397285461
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Fetch_100_25_Dense,Hybrid_Rerank_Cohere,4,0.9,0.83,0.6569239527928584,2.287611136436462
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Fetch_100_75_Dense,Hybrid_Rerank_Cohere,4,0.9,0.8291666666666667,0.6516529932726189,2.282606537342072
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Fetch_200,Hybrid_Rerank_Cohere,4,0.9,0.8291666666666667,0.6460187042469988,2.4295759558677674
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Fetch_100,Hybrid_Rerank_Cohere,4,0.9,0.8291666666666667,0.6537606907009831,2.267155101299286
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False_Fetch_70,Hybrid_Rerank_Cohere,4,0.9,0.8291666666666667,0.6567612223036849,2.210607886314392
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_True_Summaries,Hybrid_Rerank_Cohere,4,0.88,0.7183333333333333,0.7950843245598662,2.4701787972450253
Fine-tuned_finetuned-ISO-27001_1024_cosine_All_1536_264_False,Hybrid_Rerank_Cohere,4,0.9,0.83,0.6558151942274708,2.549131369590759
Fine-tuned_finetuned-ISO-27001_1024_ip_All_1536_264_False,Hybrid_Rerank_Cohere,4,0.9,0.83,0.6558151942274708,2.608094553947449
